idDimOtherData,calories,avg_heart_rate_element,vrsta_sporta
989,0,,Biking
990,715,131.0,Biking
991,780,122.0,Biking
992,252,111.0,Biking
993,10,109.0,Biking
994,1,118.0,Biking
995,4,110.0,Biking
996,4,118.0,Biking
997,257,118.0,Biking
998,337,126.0,Biking
999,198,110.0,Biking
1000,463,134.0,Biking
1001,263,118.0,Biking
1002,2426,,Biking
1003,368,129.0,Biking
1004,173,135.0,Biking
1005,29,120.0,Biking
1006,209,157.0,Biking
1007,206,124.0,Biking
1008,458,142.0,Biking
1009,175,102.0,Biking
1010,809,,Biking
1011,445,98.0,Biking
1012,141,,Biking
1013,1110,130.0,Biking
1014,242,155.0,Biking
1015,558,124.0,Biking
1016,1472,123.0,Biking
1017,622,129.0,Biking
1018,1782,114.0,Biking
1019,1350,173.0,Biking
1020,2842,60.0,Biking
1021,2547,130.0,Biking
1022,629,136.0,Biking
1023,482,128.0,Biking
1024,301,102.0,Biking
1025,1964,139.0,Biking
1026,1121,135.0,Biking
1027,240,118.0,Biking
1028,403,115.0,Biking
1029,352,129.0,Biking
1030,850,114.0,Biking
1031,122,107.0,Biking
1032,429,104.0,Biking
1033,1196,126.0,Biking
1034,163,117.0,Biking
1035,811,132.0,Biking
1036,1089,171.0,Biking
1037,379,119.0,Biking
1038,480,122.0,Biking
1039,369,101.0,Biking
1040,31,102.0,Biking
1041,75,102.0,Biking
1042,75,96.0,Biking
1043,109,104.0,Biking
1044,45,98.0,Biking
1045,62,107.0,Biking
1046,31,106.0,Biking
1047,467,136.0,Biking
1048,447,122.0,Biking
1049,295,115.0,Biking
1050,2941,152.0,Biking
1051,110,169.0,Biking
1052,48,102.0,Biking
1053,433,121.0,Biking
1054,0,147.0,Biking
1055,0,114.0,Biking
1056,41,109.0,Biking
1057,10,123.0,Biking
1058,26,128.0,Biking
1059,748,126.0,Biking
1060,2558,123.0,Biking
1061,0,,Biking
1062,795,121.0,Biking
1063,214,130.0,Biking
1064,433,127.0,Biking
1065,3659,139.0,Biking
1066,232,119.0,Biking
1067,17,116.0,Biking
1068,69,162.0,Biking
1069,16,115.0,Biking
1070,768,129.0,Biking
1071,70,125.0,Biking
1072,973,178.0,Biking
1073,2520,150.0,Biking
1074,289,121.0,Biking
1075,63,113.0,Biking
1076,366,164.0,Biking
1077,1614,128.0,Biking
1078,15,112.0,Biking
1079,15,107.0,Biking
1080,664,131.0,Biking
1081,246,146.0,Biking
1082,0,120.0,Biking
1083,856,119.0,Biking
1084,448,141.0,Biking
1085,417,122.0,Biking
1086,0,,Biking
1087,284,115.0,Biking
1088,753,124.0,Biking
1089,968,116.0,Biking
1090,305,105.0,Biking
1091,868,124.0,Biking
1092,1363,131.0,Biking
1093,1096,129.0,Biking
1094,361,117.0,Biking
1095,1210,124.0,Biking
1096,984,127.0,Biking
1097,2413,127.0,Biking
1098,63,111.0,Biking
1099,1316,108.0,Biking
1100,591,104.0,Biking
1101,1740,112.0,Biking
1102,506,128.0,Biking
1103,253,145.0,Biking
1104,146,163.0,Biking
1105,17,144.0,Biking
1106,163,107.0,Biking
1107,37,,Biking
1108,1129,137.0,Biking
1109,196,165.0,Biking
1110,201,168.0,Biking
1111,189,165.0,Biking
1112,329,161.0,Biking
1113,141,157.0,Biking
1114,415,104.0,Biking
1115,263,115.0,Biking
1116,16,153.0,Biking
1117,63,122.0,Biking
1118,17,164.0,Biking
1119,59,127.0,Biking
1120,20,163.0,Biking
1121,47,121.0,Biking
1122,16,162.0,Biking
1123,52,129.0,Biking
1124,312,124.0,Biking
1125,1462,118.0,Biking
1126,311,125.0,Biking
1127,1899,131.0,Biking
1128,905,120.0,Biking
1129,236,111.0,Biking
1130,10,113.0,Biking
1131,375,123.0,Biking
1132,459,127.0,Biking
1133,390,114.0,Biking
1134,510,136.0,Biking
1135,442,128.0,Biking
1136,554,155.0,Biking
1137,299,109.0,Biking
1138,24,110.0,Biking
