Skupaj_kilometri,skupaj_trajanje_aktivnosti_sek,poraba_kalorij
5845.54,1287,80.0
0.0,1818,0.0
0.0,3656,384.0
10478.07,1705,298.0
31032.2,6803,632.0
8389.88,1386,175.0
47475.55,18533,829.0
8941.79,3212,236.0
16305.42,2946,273.0
1926.45,676,131.0
1792.43,401,15.0
2135.22,422,19.0
21087.93,2704,422.0
622.7,97,37.0
647.93,188,33.0
828.53,92,38.0
644.05,91,38.0
7924.46,772,24.0
618.7,94,36.0
823.27,211,42.0
887.7,93,38.0
1129.28,241,41.0
1108.54,243,47.0
28981.78,3439,440.0
21809.86,3189,462.0
8501.7,1594,421.0
29553.38,3333,547.0
9551.02,3992,167.0
5495.45,1667,230.0
18387.82,7045,794.0
81592.47,10593,1601.0
15044.19,3739,669.0
18926.93,3599,888.0
53353.78,7168,642.0
4702.83,1213,369.0
4567.43,1166,359.0
4574.59,740,12.0
4623.82,1337,363.0
4844.46,696,10.0
4734.62,1240,363.0
7198.23,1073,91.0
12334.32,4193,327.0
13040.08,3068,315.0
1192.94,190,26.0
11875.14,2040,688.0
7814.01,1262,233.0
14352.84,2782,588.0
38020.96,6117,816.0
64011.44,8071,610.0
27071.7,3667,598.0
2828.85,602,58.0
94738.66,11466,1399.0
85088.42,15073,1514.0
5682.99,1197,254.0
5693.95,1231,262.0
5692.97,1225,252.0
5633.1,1256,237.0
5670.07,1278,210.0
44063.42,7383,1605.0
63686.5,8268,2496.0
84140.58,12277,1951.0
12044.37,2592,494.0
2309.77,429,5.0
2020.4,481,188.0
2374.37,366,5.0
2385.11,369,5.0
5189.61,726,50.0
11207.52,2343,620.0
497.43,1800,182.0
1521.9,386,61.0
132102.56,15957,2936.0
2.48,0,0.0
15346.12,4741,716.0
16766.24,1879,94.0
0.0,1088,0.0
31081.13,5860,536.0
6146.45,1457,205.0
11729.88,1852,288.0
7267.85,1222,326.0
7248.03,816,51.0
7139.34,1233,329.0
7247.13,922,41.0
3918.14,733,177.0
11943.18,3219,494.0
15926.66,4796,642.0
9550.5,2480,495.0
53085.68,11992,678.0
129.97,33,1.0
5627.51,1551,190.0
33851.31,5321,725.0
10744.36,2803,464.0
91319.96,12773,1657.0
114593.28,18151,3189.0
3819.44,976,256.0
3948.47,984,269.0
3969.88,1011,270.0
3945.97,1004,263.0
3900.57,1019,256.0
3918.54,1010,247.0
56.91,69,5.0
0.0,3621,0.0
0.0,650,0.0
7611.8,1488,132.0
53253.55,7900,1142.0
18186.23,1933,430.0
4221.42,601,191.0
5780.19,652,47.0
4413.21,600,193.0
5369.43,495,41.0
4565.81,393,47.0
16311.46,2315,421.0
26302.8,6822,726.0
72109.74,12970,2862.0
78730.24,12950,1726.0
83483.33,11952,1219.0
52476.83,7527,1352.0
4504.09,1146,277.0
21552.06,1024,377.0
23337.57,4219,446.0
47255.8,12730,1694.0
7088.49,1641,329.0
2639.23,343,1.0
2455.03,587,242.0
659.8,323,62.0
6563.93,732,57.0
98986.6,15434,1371.0
41649.07,5972,554.0
10629.2,1549,257.0
23477.95,13391,515.0
21840.31,7418,1005.0
0.0,1873,195.0
91327.26,14230,1693.0
29796.44,7572,321.0
5000.0,1031,105.0
5000.0,564,59.0
5000.0,819,101.0
5000.0,507,80.0
5000.0,852,99.0
5000.0,630,52.0
5000.0,845,52.0
5000.0,784,87.0
5000.0,675,57.0
5000.0,1151,89.0
73.09,8,0.0
12487.0,1204,70.0
52054.5,6536,1200.0
1930.55,659,206.0
23506.91,4656,305.0
18236.45,2635,238.0
8380.22,1504,254.0
5739.81,1554,259.0
6611.63,561,10.0
6231.19,1616,252.0
25987.41,5124,236.0
0.0,1997,111.0
93127.18,14435,2373.0
57748.0,9286,1872.0
16762.51,5363,699.0
15939.16,1915,99.0
46783.24,5945,919.0
6844.86,1105,108.0
4636.2,1048,303.0
28060.49,4981,366.0
371.73,63,14.0
705.36,139,31.0
163.57,21,1.0
115.58,39,4.0
169.46,41,6.0
1169.3,223,51.0
163.11,15,0.0
378.55,109,12.0
1500.49,273,61.0
177.18,13,0.0
171.24,17,0.0
555.73,115,12.0
486.74,102,24.0
174.26,16,1.0
416.82,85,11.0
41536.17,8248,1016.0
10926.34,1755,257.0
16936.97,6530,961.0
45409.99,10468,1094.0
29631.73,28554,493.0
