calories,avg_heart_rate_element,vrsta_sporta
2000,130.0,Biking
2119,144.0,Biking
131,177.0,Biking
382,105.0,Biking
580,104.0,Biking
353,109.0,Biking
758,131.0,Biking
236,174.0,Biking
246,174.0,Biking
242,173.0,Biking
210,166.0,Biking
201,166.0,Biking
119,118.0,Biking
678,121.0,Biking
368,143.0,Biking
1163,133.0,Biking
2021,130.0,Biking
541,117.0,Biking
158,138.0,Biking
1003,146.0,Biking
1359,138.0,Biking
314,139.0,Biking
410,119.0,Biking
478,124.0,Biking
493,112.0,Biking
256,122.0,Biking
47,94.0,Biking
736,122.0,Biking
982,125.0,Biking
936,131.0,Biking
1996,124.0,Biking
390,120.0,Biking
179,175.0,Biking
1143,177.0,Biking
658,138.0,Biking
751,113.0,Biking
1989,137.0,Biking
1599,136.0,Biking
395,132.0,Biking
1030,117.0,Biking
1061,137.0,Biking
924,142.0,Biking
1520,135.0,Biking
380,,Biking
624,119.0,Biking
314,117.0,Biking
